,WELL_NAME,Simulated
544,OBS2,0.9377820101
545,OBS2,0.9377815589
546,OBS2,0.9377811111
547,OBS2,0.9377806667
548,OBS2,0.9377802256
549,OBS2,0.9377797878
550,OBS2,0.9377793533
551,OBS2,0.937778922
552,OBS2,0.9377784939
553,OBS2,0.937778069
554,OBS2,0.9377776472
555,OBS2,0.9377772286
556,OBS2,0.937776813
557,OBS2,0.9377764004
558,OBS2,0.9377759908
559,OBS2,0.9377755843
560,OBS2,0.9377751807
561,OBS2,0.93777478
562,OBS2,0.9377743821
563,OBS2,0.9377739872
564,OBS2,0.9377735951
565,OBS2,0.9377732058
566,OBS2,0.9377728192
567,OBS2,0.9377724354
568,OBS2,0.9377720544
569,OBS2,0.937771676
570,OBS2,0.9377713003
571,OBS2,0.9377709272
572,OBS2,0.9377705568
573,OBS2,0.9377701889
574,OBS2,0.9377698236
575,OBS2,0.9377694608
576,OBS2,0.9377691005
577,OBS2,0.9377687428
578,OBS2,0.9377683875
579,OBS2,0.9377680346
580,OBS2,0.9377676841
581,OBS2,0.9377673361
582,OBS2,0.9377669904
583,OBS2,0.937766647
584,OBS2,0.937766306
585,OBS2,0.9377659673
586,OBS2,0.9377656308
587,OBS2,0.9377652966
588,OBS2,0.9377649646
589,OBS2,0.9377646349
590,OBS2,0.9377643073
591,OBS2,0.9377639819
592,OBS2,0.9377636587
593,OBS2,0.9377633376
594,OBS2,0.9377630186
595,OBS2,0.9377627017
596,OBS2,0.9377623868
597,OBS2,0.937762074
598,OBS2,0.9377617633
599,OBS2,0.9377614545
600,OBS2,0.9377611477
601,OBS2,0.937760843
602,OBS2,0.9377605401
603,OBS2,0.9377602392
604,OBS2,0.9377599402
605,OBS2,0.9377596431
606,OBS2,0.9377593479
607,OBS2,0.9377590546
608,OBS2,0.9377587631
609,OBS2,0.9377584735
610,OBS2,0.9377581856
611,OBS2,0.9377578996
612,OBS2,0.9377576153
613,OBS2,0.9377573328
614,OBS2,0.937757052
615,OBS2,0.937756773
616,OBS2,0.9377564957
617,OBS2,0.9377562201
618,OBS2,0.9377559461
619,OBS2,0.9377556739
620,OBS2,0.9377554033
621,OBS2,0.9377551343
622,OBS2,0.9377548669
623,OBS2,0.9377546012
624,OBS2,0.9377543371
625,OBS2,0.9377540745
626,OBS2,0.9377538135
627,OBS2,0.9377535541
628,OBS2,0.9377532961
629,OBS2,0.9377530398
630,OBS2,0.9377527849
631,OBS2,0.9377525315
632,OBS2,0.9377522796
633,OBS2,0.9377520292
634,OBS2,0.9377517802
635,OBS2,0.9377515327
636,OBS2,0.9377512866
637,OBS2,0.937751042
638,OBS2,0.9377507987
639,OBS2,0.9377505568
640,OBS2,0.9377503163
641,OBS2,0.9377500772
642,OBS2,0.9377498394
643,OBS2,0.937749603
644,OBS2,0.937749368
645,OBS2,0.9377491342
646,OBS2,0.9377489017
647,OBS2,0.9377486706
648,OBS2,0.9377484407
649,OBS2,0.9377482122
650,OBS2,0.9377479848
651,OBS2,0.9377477588
652,OBS2,0.937747534
653,OBS2,0.9377473104
654,OBS2,0.937747088
655,OBS2,0.9377468669
656,OBS2,0.9377466469
657,OBS2,0.9377464282
658,OBS2,0.9377462106
659,OBS2,0.9377459942
660,OBS2,0.937745779
661,OBS2,0.9377455649
662,OBS2,0.937745352
663,OBS2,0.9377451402
664,OBS2,0.9377449295
665,OBS2,0.9377447199
666,OBS2,0.9377445114
667,OBS2,0.9377443041
668,OBS2,0.9377440978
669,OBS2,0.9377438926
670,OBS2,0.9377436884
671,OBS2,0.9377434854
672,OBS2,0.9377432833
673,OBS2,0.9377430823
674,OBS2,0.9377428824
675,OBS2,0.9377426835
676,OBS2,0.9377424856
677,OBS2,0.9377422887
678,OBS2,0.9377420927
679,OBS2,0.9377418978
680,OBS2,0.9377417039
681,OBS2,0.937741511
682,OBS2,0.937741319
683,OBS2,0.9377411279
684,OBS2,0.9377409379
685,OBS2,0.9377407487
686,OBS2,0.9377405605
687,OBS2,0.9377403733
688,OBS2,0.9377401869
689,OBS2,0.9377400015
690,OBS2,0.937739817
691,OBS2,0.9377396334
692,OBS2,0.9377394506
693,OBS2,0.9377392688
694,OBS2,0.9377390878
695,OBS2,0.9377389077
696,OBS2,0.9377387285
697,OBS2,0.9377385501
698,OBS2,0.9377383726
699,OBS2,0.9377381959
700,OBS2,0.9377380201
701,OBS2,0.9377378451
702,OBS2,0.9377376709
703,OBS2,0.9377374975
704,OBS2,0.937737325
705,OBS2,0.9377371532
706,OBS2,0.9377369823
707,OBS2,0.9377368121
708,OBS2,0.9377366427
709,OBS2,0.9377364741
710,OBS2,0.9377363063
711,OBS2,0.9377361393
712,OBS2,0.937735973
713,OBS2,0.9377358075
714,OBS2,0.9377356427
715,OBS2,0.9377354786
716,OBS2,0.9377353153
717,OBS2,0.9377351528
718,OBS2,0.937734991
719,OBS2,0.9377348299
720,OBS2,0.9377346695
721,OBS2,0.9377345098
722,OBS2,0.9377343508
723,OBS2,0.9377341925
724,OBS2,0.937734035
725,OBS2,0.9377338781
726,OBS2,0.9377337219
727,OBS2,0.9377335664
728,OBS2,0.9377334115
729,OBS2,0.9377332574
730,OBS3,-0.29559697
731,OBS3,-0.2955969632
732,OBS3,-0.2955969566
733,OBS3,-0.29559695
