time,OBS1,OBS2,OBS3,OBS5,OBS6,OBS7,OBS8,OBS9,OBS10,OBS11,OBS12,OBS13,OBS14,OBS15,OBS16,OBS17,OBS18,OBS19,OBS20,OBS4
30.00000000000,-0.1174827729,0.9259812094,-0.2978784889,3.712314060,0.9612278736,0.5574543604E-01,-0.7080663247,6.214005155,6.275506015,0.5573578084,-0.7273861305,6.453715738,4.664270998,2.422982079,-1.109129019,1.405684079,0.6761043579,0.4373824624,0.1663649466,6.164391975
31.00000000000,-0.1174827823,0.9259836087,-0.2978785386,3.712306999,0.9612276229,0.5574495008E-01,-0.7080663456,6.214001442,6.275497400,0.5573574575,-0.7273862218,6.453712977,4.664268048,2.422984727,-1.109129020,1.405684785,0.6761044902,0.4373824971,0.1892934493,6.164393102
32.00000000000,-0.1174827917,0.9259859824,-0.2978785874,3.712299967,0.9612273756,0.5574447241E-01,-0.7080663660,6.213997757,6.275488830,0.5573571121,-0.7273863129,6.453710233,4.664265124,2.422987341,-1.109129020,1.405685482,0.6761046225,0.4373825302,0.2017515968,6.164394201
33.00000000000,-0.1174828012,0.9259883305,-0.2978786354,3.712292965,0.9612271315,0.5574400297E-01,-0.7080663861,6.213994099,6.275480305,0.5573567722,-0.7273864036,6.453707506,4.664262225,2.422989921,-1.109129021,1.405686170,0.6761047546,0.4373825616,0.2064022273,6.164395272
34.00000000000,-0.1174828108,0.9259906534,-0.2978786827,3.712285992,0.9612268905,0.5574354143E-01,-0.7080664057,6.213990467,6.275471822,0.5573564377,-0.7273864941,6.453704795,4.664259352,2.422992468,-1.109129021,1.405686849,0.6761048865,0.4373825916,0.2065867496,6.164396316
35.00000000000,-0.1174828204,0.9259929509,-0.2978787292,3.712279048,0.9612266525,0.5574308759E-01,-0.7080664249,6.213986862,6.275463380,0.5573561083,-0.7273865843,6.453702100,4.664256503,2.422994981,-1.109129022,1.405687518,0.6761050183,0.4373826202,0.2045043164,6.164397333
36.00000000000,-0.1174828301,0.9259952231,-0.2978787749,3.712272132,0.9612264175,0.5574264132E-01,-0.7080664437,6.213983282,6.275454980,0.5573557841,-0.7273866741,6.453699421,4.664253679,2.422997462,-1.109129022,1.405688179,0.6761051499,0.4373826473,0.2013674279,6.164398324
37.00000000000,-0.1174828397,0.9259974701,-0.2978788200,3.712265246,0.9612261853,0.5574220247E-01,-0.7080664622,6.213979728,6.275446621,0.5573554650,-0.7273867637,6.453696758,4.664250879,2.422999910,-1.109129023,1.405688831,0.6761052812,0.4373826731,0.1978041354,6.164399288
38.00000000000,-0.1174828495,0.9259996918,-0.2978788643,3.712258389,0.9612259559,0.5574177088E-01,-0.7080664803,6.213976199,6.275438303,0.5573551509,-0.7273868530,6.453694111,4.664248104,2.423002326,-1.109129023,1.405689474,0.6761054123,0.4373826976,0.1941327973,6.164400225
39.00000000000,-0.1174828592,0.9260018880,-0.2978789079,3.712251562,0.9612257292,0.5574134651E-01,-0.7080664980,6.213972696,6.275430027,0.5573548418,-0.7273869419,6.453691478,4.664245353,2.423004711,-1.109129024,1.405690109,0.6761055431,0.4373827208,0.1927055046,6.164401137
40.00000000000,-0.1174828690,0.9260040590,-0.2978789509,3.712244763,0.9612255051,0.5574092911E-01,-0.7080665154,6.213969217,6.275421790,0.5573545375,-0.7273870304,6.453688861,4.664242626,2.423007063,-1.109129025,1.405690736,0.6761056737,0.4373827428,0.1912082148,6.164402024
41.00000000000,-0.1174828788,0.9260062049,-0.2978789931,3.712237992,0.9612252835,0.5574051842E-01,-0.7080665325,6.213965762,6.275413592,0.5573542380,-0.7273871186,6.453686259,4.664239922,2.423009385,-1.109129025,1.405691354,0.6761058039,0.4373827637,0.1890097477,6.164402885
42.00000000000,-0.1174828886,0.9260083257,-0.2978790348,3.712231250,0.9612250644,0.5574011439E-01,-0.7080665492,6.213962331,6.275405433,0.5573539431,-0.7273872065,6.453683671,4.664237242,2.423011677,-1.109129026,1.405691964,0.6761059338,0.4373827835,0.1863276461,6.164403722
43.00000000000,-0.1174828985,0.9260104215,-0.2978790757,3.712224536,0.9612248476,0.5573971687E-01,-0.7080665657,6.213958924,6.275397312,0.5573536528,-0.7273872941,6.453681097,4.664234584,2.423013938,-1.109129026,1.405692566,0.6761060633,0.4373828021,0.1834485491,6.164404534
44.00000000000,-0.1174829083,0.9260124921,-0.2978791161,3.712217850,0.9612246332,0.5573932573E-01,-0.7080665818,6.213955540,6.275389229,0.5573533670,-0.7273873812,6.453678537,4.664231949,2.423016169,-1.109129027,1.405693160,0.6761061925,0.4373828197,0.1805569182,6.164405322
45.00000000000,-0.1174829182,0.9260145377,-0.2978791558,3.712211194,0.9612244210,0.5573894095E-01,-0.7080665976,6.213952180,6.275381185,0.5573530858,-0.7273874680,6.453675992,4.664229337,2.423018369,-1.109129028,1.405693746,0.6761063213,0.4373828363,0.1790091497,6.164406086
46.00000000000,-0.1174829280,0.9260165585,-0.2978791949,3.712204564,0.9612242111,0.5573856227E-01,-0.7080666132,6.213948843,6.275373179,0.5573528089,-0.7273875544,6.453673460,4.664226748,2.423020541,-1.109129028,1.405694325,0.6761064496,0.4373828519,0.1773874191,6.164406826
47.00000000000,-0.1174829379,0.9260185545,-0.2978792334,3.712197963,0.9612240032,0.5573818954E-01,-0.7080666284,6.213945528,6.275365209,0.5573525363,-0.7273876404,6.453670941,4.664224180,2.423022684,-1.109129029,1.405694896,0.6761065776,0.4373828666,0.1754259700,6.164407543
48.00000000000,-0.1174829478,0.9260205259,-0.2978792713,3.712191389,0.9612237974,0.5573782268E-01,-0.7080666434,6.213942236,6.275357275,0.5573522680,-0.7273877260,6.453668436,4.664221634,2.423024798,-1.109129029,1.405695459,0.6761067051,0.4373828804,0.1732640411,6.164408237
49.00000000000,-0.1174829576,0.9260224728,-0.2978793086,3.712184843,0.9612235936,0.5573746158E-01,-0.7080666581,6.213938966,6.275349378,0.5573520039,-0.7273878112,6.453665944,4.664219109,2.423026883,-1.109129030,1.405696015,0.6761068322,0.4373828932,0.1710519141,6.164408908
50.00000000000,-0.1174829675,0.9260243952,-0.2978793453,3.712178324,0.9612233917,0.5573710611E-01,-0.7080666726,6.213935718,6.275341517,0.5573517439,-0.7273878960,6.453663465,4.664216606,2.423028941,-1.109129031,1.405696563,0.6761069588,0.4373829052,0.1688805581,6.164409557
51.00000000000,-0.1174829774,0.9260262932,-0.2978793815,3.712171832,0.9612231917,0.5573675616E-01,-0.7080666868,6.213932491,6.275333691,0.5573514880,-0.7273879804,6.453660999,4.664214124,2.423030970,-1.109129031,1.405697104,0.6761070850,0.4373829164,0.1667950240,6.164410183
52.00000000000,-0.1174829872,0.9260281671,-0.2978794171,3.712165367,0.9612229935,0.5573641163E-01,-0.7080667007,6.213929286,6.275325901,0.5573512360,-0.7273880644,6.453658545,4.664211663,2.423032972,-1.109129032,1.405697638,0.6761072106,0.4373829267,0.1648142461,6.164410787
53.00000000000,-0.1174829971,0.9260300170,-0.2978794522,3.712158929,0.9612227972,0.5573607241E-01,-0.7080667144,6.213926103,6.275318146,0.5573509880,-0.7273881480,6.453656104,4.664209223,2.423034947,-1.109129032,1.405698165,0.6761073358,0.4373829362,0.1629437261,6.164411370
54.00000000000,-0.1174830069,0.9260318430,-0.2978794868,3.712152517,0.9612226025,0.5573573839E-01,-0.7080667279,6.213922940,6.275310426,0.5573507439,-0.7273882311,6.453653675,4.664206803,2.423036895,-1.109129033,1.405698685,0.6761074604,0.4373829450,0.1611824745,6.164411932
55.00000000000,-0.1174830167,0.9260336452,-0.2978795208,3.712146133,0.9612224095,0.5573540948E-01,-0.7080667411,6.213919798,6.275302740,0.5573505036,-0.7273883138,6.453651258,4.664204404,2.423038817,-1.109129034,1.405699197,0.6761075845,0.4373829530,0.1595262605,6.164412472
56.00000000000,-0.1174830266,0.9260354239,-0.2978795543,3.712139774,0.9612222182,0.5573508556E-01,-0.7080667541,6.213916677,6.275295088,0.5573502670,-0.7273883961,6.453648853,4.664202024,2.423040712,-1.109129034,1.405699703,0.6761077081,0.4373829603,0.1579695784,6.164412992
57.00000000000,-0.1174830364,0.9260371792,-0.2978795873,3.712133442,0.9612220284,0.5573476654E-01,-0.7080667669,6.213913577,6.275287470,0.5573500342,-0.7273884779,6.453646460,4.664199664,2.423042582,-1.109129035,1.405700202,0.6761078311,0.4373829669,0.1565064126,6.164413491
58.00000000000,-0.1174830461,0.9260389113,-0.2978796198,3.712127135,0.9612218402,0.5573445233E-01,-0.7080667795,6.213910496,6.275279886,0.5573498050,-0.7273885592,6.453644078,4.664197324,2.423044426,-1.109129036,1.405700695,0.6761079536,0.4373829728,0.1551306786,6.164413969
59.00000000000,-0.1174830559,0.9260406203,-0.2978796518,3.712120855,0.9612216535,0.5573414291E-01,-0.7080667918,6.213907436,6.275272336,0.5573495795,-0.7273886401,6.453641708,4.664195004,2.423046244,-1.109129036,1.405701180,0.6761080755,0.4373829780,0.1551577681,6.164414428
60.00000000000,-0.1174830657,0.9260423063,-0.2978796834,3.712114600,0.9612214683,0.5573383813E-01,-0.7080668039,6.213904396,6.275264820,0.5573493575,-0.7273887205,6.453639349,4.664192703,2.423048037,-1.109129037,1.405701659,0.6761081968,0.4373829825,0.1550496621,6.164414867
61.00000000000,-0.1174830754,0.9260439697,-0.2978797144,3.712108371,0.9612212845,0.5573353784E-01,-0.7080668159,6.213901376,6.275257335,0.5573491389,-0.7273888005,6.453637001,4.664190421,2.423049806,-1.109129037,1.405702132,0.6761083175,0.4373829864,0.1545029655,6.164415286
62.00000000000,-0.1174830851,0.9260456107,-0.2978797450,3.712102167,0.9612211020,0.5573324196E-01,-0.7080668276,6.213898374,6.275249883,0.5573489238,-0.7273888800,6.453634664,4.664188158,2.423051550,-1.109129038,1.405702598,0.6761084377,0.4373829898,0.1536544387,6.164415686
63.00000000000,-0.1174830948,0.9260472294,-0.2978797752,3.712095987,0.9612209208,0.5573295043E-01,-0.7080668392,6.213895392,6.275242462,0.5573487120,-0.7273889590,6.453632338,4.664185913,2.423053270,-1.109129039,1.405703058,0.6761085572,0.4373829925,0.1526605322,6.164416068
64.00000000000,-0.1174831045,0.9260488260,-0.2978798049,3.712089833,0.9612207410,0.5573266317E-01,-0.7080668506,6.213892428,6.275235073,0.5573485035,-0.7273890376,6.453630023,4.664183686,2.423054966,-1.109129039,1.405703512,0.6761086761,0.4373829947,0.1516191554,6.164416430
65.00000000000,-0.1174831141,0.9260504007,-0.2978798341,3.712083704,0.9612205624,0.5573238009E-01,-0.7080668618,6.213889484,6.275227715,0.5573482984,-0.7273891157,6.453627718,4.664181478,2.423056639,-1.109129040,1.405703959,0.6761087945,0.4373829964,0.1505818764,6.164416774
66.00000000000,-0.1174831237,0.9260519537,-0.2978798630,3.712077599,0.9612203851,0.5573210114E-01,-0.7080668728,6.213886558,6.275220389,0.5573480964,-0.7273891933,6.453625424,4.664179287,2.423058288,-1.109129040,1.405704401,0.6761089122,0.4373829976,0.1495736683,6.164417100
67.00000000000,-0.1174831333,0.9260534852,-0.2978798914,3.712071518,0.9612202090,0.5573182623E-01,-0.7080668836,6.213883650,6.275213093,0.5573478976,-0.7273892704,6.453623140,4.664177114,2.423059914,-1.109129041,1.405704836,0.6761090292,0.4373829983,0.1486434191,6.164417408
68.00000000000,-0.1174831429,0.9260549954,-0.2978799193,3.712065462,0.9612200340,0.5573155528E-01,-0.7080668943,6.213880761,6.275205829,0.5573477020,-0.7273893470,6.453620866,4.664174959,2.423061518,-1.109129042,1.405705265,0.6761091456,0.4373829986,0.1477515760,6.164417698
69.00000000000,-0.1174831524,0.9260564845,-0.2978799469,3.712059429,0.9612198602,0.5573128822E-01,-0.7080669048,6.213877890,6.275198595,0.5573475094,-0.7273894232,6.453618602,4.664172822,2.423063099,-1.109129042,1.405705689,0.6761092614,0.4373829986,0.1492596786,6.164417971
70.00000000000,-0.1174831619,0.9260579526,-0.2978799741,3.712053421,0.9612196875,0.5573102502E-01,-0.7080669151,6.213875037,6.275191392,0.5573473199,-0.7273894988,6.453616348,4.664170701,2.423064658,-1.109129043,1.405706106,0.6761093766,0.4373829983,0.1528746137,6.164418226
71.00000000000,-0.1174831714,0.9260594001,-0.2978800008,3.712047437,0.9612195158,0.5573076562E-01,-0.7080669253,6.213872202,6.275184220,0.5573471334,-0.7273895740,6.453614105,4.664168598,2.423066195,-1.109129043,1.405706518,0.6761094910,0.4373829977,0.1561020239,6.164418464
72.00000000000,-0.1174831809,0.9260608270,-0.2978800272,3.712041476,0.9612193453,0.5573050988E-01,-0.7080669353,6.213869385,6.275177078,0.5573469498,-0.7273896486,6.453611870,4.664166512,2.423067710,-1.109129044,1.405706924,0.6761096048,0.4373829969,0.1583105271,6.164418686
73.00000000000,-0.1174831903,0.9260622337,-0.2978800532,3.712035539,0.9612191757,0.5573025775E-01,-0.7080669452,6.213866585,6.275169965,0.5573467692,-0.7273897228,6.453609646,4.664164443,2.423069204,-1.109129045,1.405707325,0.6761097180,0.4373829960,0.1591298513,6.164418891
74.00000000000,-0.1174831997,0.9260636204,-0.2978800788,3.712029624,0.9612190072,0.5573000914E-01,-0.7080669549,6.213863802,6.275162880,0.5573465913,-0.7273897964,6.453607431,4.664162389,2.423070677,-1.109129045,1.405707720,0.6761098305,0.4373829950,0.1588913388,6.164419080
75.00000000000,-0.1174832091,0.9260649873,-0.2978801041,3.712023733,0.9612188396,0.5572976400E-01,-0.7080669644,6.213861036,6.275155825,0.5573464163,-0.7273898696,6.453605225,4.664160352,2.423072128,-1.109129046,1.405708109,0.6761099423,0.4373829940,0.1580467755,6.164419252
76.00000000000,-0.1174832184,0.9260663346,-0.2978801290,3.712017864,0.9612186729,0.5572952226E-01,-0.7080669739,6.213858287,6.275148798,0.5573462440,-0.7273899423,6.453603029,4.664158331,2.423073560,-1.109129046,1.405708493,0.6761100535,0.4373829931,0.1569089535,6.164419409
77.00000000000,-0.1174832277,0.9260676624,-0.2978801535,3.712012018,0.9612185071,0.5572928387E-01,-0.7080669832,6.213855554,6.275141799,0.5573460745,-0.7273900144,6.453600841,4.664156326,2.423074971,-1.109129047,1.405708872,0.6761101639,0.4373829924,0.1556546264,6.164419550
78.00000000000,-0.1174832370,0.9260689709,-0.2978801777,3.712006196,0.9612183423,0.5572904887E-01,-0.7080669923,6.213852838,6.275134831,0.5573459077,-0.7273900861,6.453598663,4.664154337,2.423076362,-1.109129048,1.405709245,0.6761102737,0.4373829919,0.1548292903,6.164419676
79.00000000000,-0.1174832463,0.9260702605,-0.2978802016,3.712000395,0.9612181784,0.5572881708E-01,-0.7080670013,6.213850139,6.275127890,0.5573457435,-0.7273901572,6.453596494,4.664152364,2.423077733,-1.109129048,1.405709613,0.6761103828,0.4373829918,0.1543322337,6.164419787
80.00000000000,-0.1174832555,0.9260715313,-0.2978802251,3.711994616,0.9612180153,0.5572858845E-01,-0.7080670102,6.213847456,6.275120976,0.5573455818,-0.7273902278,6.453594334,4.664150406,2.423079084,-1.109129049,1.405709976,0.6761104912,0.4373829921,0.1537949294,6.164419882
81.00000000000,-0.1174832647,0.9260727836,-0.2978802482,3.711988860,0.9612178530,0.5572836294E-01,-0.7080670189,6.213844789,6.275114090,0.5573454228,-0.7273902979,6.453592182,4.664148463,2.423080416,-1.109129049,1.405710333,0.6761105990,0.4373829930,0.1530155333,6.164419963
82.00000000000,-0.1174832738,0.9260740175,-0.2978802711,3.711983126,0.9612176916,0.5572814054E-01,-0.7080670275,6.213842137,6.275107232,0.5573452663,-0.7273903675,6.453590039,4.664146535,2.423081729,-1.109129050,1.405710686,0.6761107060,0.4373829945,0.1528951560,6.164420029
83.00000000000,-0.1174832829,0.9260752332,-0.2978802936,3.711977413,0.9612175309,0.5572792109E-01,-0.7080670360,6.213839502,6.275100400,0.5573451122,-0.7273904366,6.453587905,4.664144622,2.423083023,-1.109129051,1.405711034,0.6761108123,0.4373829968,0.1562601958,6.164420081
84.00000000000,-0.1174832920,0.9260764309,-0.2978803158,3.711971722,0.9612173711,0.5572770472E-01,-0.7080670444,6.213836882,6.275093598,0.5573449607,-0.7273905052,6.453585780,4.664142724,2.423084298,-1.109129051,1.405711376,0.6761109180,0.4373829999,0.1587067201,6.164420119
85.00000000000,-0.1174833011,0.9260776109,-0.2978803377,3.711966053,0.9612172120,0.5572749123E-01,-0.7080670527,6.213834278,6.275086821,0.5573448115,-0.7273905733,6.453583662,4.664140841,2.423085555,-1.109129052,1.405711714,0.6761110229,0.4373830040,0.1595173359,6.164420143
86.00000000000,-0.1174833101,0.9260787734,-0.2978803593,3.711960404,0.9612170536,0.5572728058E-01,-0.7080670608,6.213831689,6.275080071,0.5573446647,-0.7273906408,6.453581553,4.664138972,2.423086794,-1.109129052,1.405712047,0.6761111272,0.4373830092,0.1598089494,6.164420153
87.00000000000,-0.1174833191,0.9260799186,-0.2978803806,3.711954777,0.9612168960,0.5572707276E-01,-0.7080670688,6.213829115,6.275073347,0.5573445203,-0.7273907078,6.453579453,4.664137117,2.423088015,-1.109129053,1.405712375,0.6761112307,0.4373830156,0.1594023044,6.164420150
88.00000000000,-0.1174833281,0.9260810467,-0.2978804016,3.711949171,0.9612167390,0.5572686766E-01,-0.7080670767,6.213826556,6.275066648,0.5573443781,-0.7273907744,6.453577360,4.664135276,2.423089219,-1.109129054,1.405712698,0.6761113336,0.4373830233,0.1648916709,6.164420133
89.00000000000,-0.1174833370,0.9260821577,-0.2978804223,3.711943587,0.9612165828,0.5572666541E-01,-0.7080670845,6.213824012,6.275059978,0.5573442383,-0.7273908403,6.453575276,4.664133449,2.423090404,-1.109129054,1.405713017,0.6761114357,0.4373830323,0.1694061413,6.164420104
90.00000000000,-0.1174833459,0.9260832521,-0.2978804428,3.711938023,0.9612164273,0.5572646580E-01,-0.7080670922,6.213821483,6.275053334,0.5573441006,-0.7273909058,6.453573199,4.664131637,2.423091573,-1.109129055,1.405713331,0.6761115372,0.4373830430,0.1712933579,6.164420061
91.00000000000,-0.1174833547,0.9260843300,-0.2978804629,3.711932479,0.9612162724,0.5572626878E-01,-0.7080670998,6.213818969,6.275046713,0.5573439652,-0.7273909707,6.453571131,4.664129837,2.423092724,-1.109129055,1.405713641,0.6761116379,0.4373830552,0.1712546712,6.164420006
